Starting time: Sat Aug 24 13:24:10 CEST 2024
no change     /proj/gaia/RayDT/mamba_ray/condabin/conda
no change     /proj/gaia/RayDT/mamba_ray/bin/conda
no change     /proj/gaia/RayDT/mamba_ray/bin/conda-env
no change     /proj/gaia/RayDT/mamba_ray/bin/activate
no change     /proj/gaia/RayDT/mamba_ray/bin/deactivate
no change     /proj/gaia/RayDT/mamba_ray/etc/profile.d/conda.sh
no change     /proj/gaia/RayDT/mamba_ray/etc/fish/conf.d/conda.fish
no change     /proj/gaia/RayDT/mamba_ray/shell/condabin/Conda.psm1
no change     /proj/gaia/RayDT/mamba_ray/shell/condabin/conda-hook.ps1
no change     /proj/gaia/RayDT/mamba_ray/lib/python3.10/site-packages/xontrib/conda.xsh
no change     /proj/gaia/RayDT/mamba_ray/etc/profile.d/conda.csh
no change     /home/x_yifji/.bashrc
No action taken.
config =  {'env_index': 3, 'add_type_loss': True, 'eval_from': None, 'test_seed': 42, 'test_data': 'test', 'Tx_id': 0, 'allTx': True, 'Rx_id': None, 'Rx1_id': None, 'Rx2_id': None, 'debug_path_flag': False, 'path_id': 6, 'add_noise': False, 'optim_load': False, 'small_batch': False, 'big_batch': False, 'debug': False, 'produce_fig': False, 'wandb': True, 'replot_baseline_only': False, 'Ofunc': False, 'noise_sample': 20, 'path': None, 'data_postfix': '', 'data_prefix': 'allTx', 'gen_func': <function gen_data_sample_across_rx at 0x14856003cd30>}
========== Training config ==========
Found matching repo for training dataset: allTx_HFds__noise_20__20240821_021540_env_index_3
========== loading Data from /proj/gaia/RayDT/dataset/processed_data/trainwoAug/all_Tx_data/allTx_HFds__noise_20__20240821_021540_env_index_3 ==========
========== Training Data is loaded ==========
Type loss is added
========== Model is initialized ==========
{'loss': 1.6172, 'grad_norm': 3.6044299602508545, 'learning_rate': 1.951219512195122e-06, 'epoch': 0.98}
{'loss': 1.5909, 'grad_norm': 3.5383269786834717, 'learning_rate': 3.902439024390244e-06, 'epoch': 1.95}
{'loss': 1.5384, 'grad_norm': 3.447434186935425, 'learning_rate': 5.853658536585367e-06, 'epoch': 2.93}
{'loss': 1.46, 'grad_norm': 3.3064119815826416, 'learning_rate': 7.804878048780489e-06, 'epoch': 3.9}
{'loss': 1.3528, 'grad_norm': 3.112807273864746, 'learning_rate': 9.756097560975611e-06, 'epoch': 4.88}
{'loss': 1.2102, 'grad_norm': 2.8469927310943604, 'learning_rate': 1.1707317073170733e-05, 'epoch': 5.85}
{'loss': 1.0275, 'grad_norm': 2.4055280685424805, 'learning_rate': 1.3658536585365855e-05, 'epoch': 6.83}
{'loss': 0.8148, 'grad_norm': 1.8453105688095093, 'learning_rate': 1.5609756097560978e-05, 'epoch': 7.8}
{'loss': 0.6103, 'grad_norm': 1.3909229040145874, 'learning_rate': 1.7560975609756096e-05, 'epoch': 8.78}
{'loss': 0.435, 'grad_norm': 1.1675904989242554, 'learning_rate': 1.9512195121951222e-05, 'epoch': 9.76}
{'loss': 0.2523, 'grad_norm': 1.2124720811843872, 'learning_rate': 2.146341463414634e-05, 'epoch': 10.73}
{'loss': 0.0508, 'grad_norm': 1.140077829360962, 'learning_rate': 2.3414634146341466e-05, 'epoch': 11.71}
{'loss': -0.1365, 'grad_norm': 0.8925070762634277, 'learning_rate': 2.536585365853659e-05, 'epoch': 12.68}
{'loss': -0.3182, 'grad_norm': 0.9040715098381042, 'learning_rate': 2.731707317073171e-05, 'epoch': 13.66}
{'loss': -0.5098, 'grad_norm': 0.8514036536216736, 'learning_rate': 2.926829268292683e-05, 'epoch': 14.63}
{'loss': -0.6932, 'grad_norm': 1.2790133953094482, 'learning_rate': 3.1219512195121955e-05, 'epoch': 15.61}
