Starting time: Sat Aug 24 13:24:18 CEST 2024
no change     /proj/gaia/RayDT/mamba_ray/condabin/conda
no change     /proj/gaia/RayDT/mamba_ray/bin/conda
no change     /proj/gaia/RayDT/mamba_ray/bin/conda-env
no change     /proj/gaia/RayDT/mamba_ray/bin/activate
no change     /proj/gaia/RayDT/mamba_ray/bin/deactivate
no change     /proj/gaia/RayDT/mamba_ray/etc/profile.d/conda.sh
no change     /proj/gaia/RayDT/mamba_ray/etc/fish/conf.d/conda.fish
no change     /proj/gaia/RayDT/mamba_ray/shell/condabin/Conda.psm1
no change     /proj/gaia/RayDT/mamba_ray/shell/condabin/conda-hook.ps1
no change     /proj/gaia/RayDT/mamba_ray/lib/python3.10/site-packages/xontrib/conda.xsh
no change     /proj/gaia/RayDT/mamba_ray/etc/profile.d/conda.csh
no change     /home/x_yifji/.bashrc
No action taken.
config =  {'env_index': 5, 'add_type_loss': True, 'eval_from': None, 'test_seed': 42, 'test_data': 'test', 'Tx_id': 0, 'allTx': True, 'Rx_id': None, 'Rx1_id': None, 'Rx2_id': None, 'debug_path_flag': False, 'path_id': 6, 'add_noise': False, 'optim_load': False, 'small_batch': False, 'big_batch': False, 'debug': False, 'produce_fig': False, 'wandb': True, 'replot_baseline_only': False, 'Ofunc': False, 'noise_sample': 20, 'path': None, 'data_postfix': '', 'data_prefix': 'allTx', 'gen_func': <function gen_data_sample_across_rx at 0x151949bd8d30>}
========== Training config ==========
Found matching repo for training dataset: allTx_HFds__noise_20__20240821_021540_env_index_5
========== loading Data from /proj/gaia/RayDT/dataset/processed_data/trainwoAug/all_Tx_data/allTx_HFds__noise_20__20240821_021540_env_index_5 ==========
========== Training Data is loaded ==========
Type loss is added
========== Model is initialized ==========
{'loss': 1.5971, 'grad_norm': 3.683520555496216, 'learning_rate': 1.9047619047619051e-06, 'epoch': 0.95}
{'loss': 1.5704, 'grad_norm': 3.632258892059326, 'learning_rate': 3.8095238095238102e-06, 'epoch': 1.9}
{'loss': 1.5168, 'grad_norm': 3.5594325065612793, 'learning_rate': 5.7142857142857145e-06, 'epoch': 2.86}
{'loss': 1.4369, 'grad_norm': 3.414015531539917, 'learning_rate': 7.6190476190476205e-06, 'epoch': 3.81}
{'loss': 1.328, 'grad_norm': 3.234647274017334, 'learning_rate': 9.523809523809523e-06, 'epoch': 4.76}
{'loss': 1.1856, 'grad_norm': 2.957381248474121, 'learning_rate': 1.1428571428571429e-05, 'epoch': 5.71}
{'loss': 1.0048, 'grad_norm': 2.520876169204712, 'learning_rate': 1.3333333333333333e-05, 'epoch': 6.67}
{'loss': 0.7947, 'grad_norm': 1.9668368101119995, 'learning_rate': 1.5238095238095241e-05, 'epoch': 7.62}
{'loss': 0.5874, 'grad_norm': 1.475361704826355, 'learning_rate': 1.7142857142857145e-05, 'epoch': 8.57}
{'loss': 0.412, 'grad_norm': 1.1936564445495605, 'learning_rate': 1.9047619047619046e-05, 'epoch': 9.52}
{'loss': 0.2371, 'grad_norm': 1.1704342365264893, 'learning_rate': 2.0952380952380954e-05, 'epoch': 10.48}
{'loss': 0.0364, 'grad_norm': 1.2266868352890015, 'learning_rate': 2.2857142857142858e-05, 'epoch': 11.43}
{'loss': -0.1561, 'grad_norm': 0.9902448654174805, 'learning_rate': 2.4761904761904762e-05, 'epoch': 12.38}
{'loss': -0.333, 'grad_norm': 0.953141987323761, 'learning_rate': 2.6666666666666667e-05, 'epoch': 13.33}
{'loss': -0.5284, 'grad_norm': 0.9461631178855896, 'learning_rate': 2.857142857142857e-05, 'epoch': 14.29}
{'loss': -0.7227, 'grad_norm': 1.0040987730026245, 'learning_rate': 3.0476190476190482e-05, 'epoch': 15.24}
