Starting time: Thu Aug 22 19:44:39 CEST 2024
no change     /proj/gaia/RayDT/mamba_ray/condabin/conda
no change     /proj/gaia/RayDT/mamba_ray/bin/conda
no change     /proj/gaia/RayDT/mamba_ray/bin/conda-env
no change     /proj/gaia/RayDT/mamba_ray/bin/activate
no change     /proj/gaia/RayDT/mamba_ray/bin/deactivate
no change     /proj/gaia/RayDT/mamba_ray/etc/profile.d/conda.sh
no change     /proj/gaia/RayDT/mamba_ray/etc/fish/conf.d/conda.fish
no change     /proj/gaia/RayDT/mamba_ray/shell/condabin/Conda.psm1
no change     /proj/gaia/RayDT/mamba_ray/shell/condabin/conda-hook.ps1
no change     /proj/gaia/RayDT/mamba_ray/lib/python3.10/site-packages/xontrib/conda.xsh
no change     /proj/gaia/RayDT/mamba_ray/etc/profile.d/conda.csh
no change     /home/x_yifji/.bashrc
No action taken.
config =  {'env_index': 4, 'add_surface_index': False, 'eval_from': None, 'test_seed': 42, 'test_data': 'test', 'Tx_id': 0, 'allTx': True, 'Rx_id': None, 'Rx1_id': None, 'Rx2_id': None, 'debug_path_flag': False, 'path_id': 6, 'add_noise': False, 'optim_load': False, 'small_batch': False, 'big_batch': False, 'debug': False, 'produce_fig': False, 'wandb': True, 'replot_baseline_only': False, 'Ofunc': False, 'noise_sample': 20, 'path': None, 'data_postfix': '', 'data_prefix': 'allTx', 'gen_func': <function gen_data_sample_across_rx at 0x15136b3dcd30>}
========== Training config ==========
Found matching repo for training dataset: allTx_HFds__noise_20__20240821_021540_env_index_4
========== loading Data from /proj/gaia/RayDT/dataset/processed_data/trainwoAug/all_Tx_data/allTx_HFds__noise_20__20240821_021540_env_index_4 ==========
========== Training Data is loaded ==========
========== Model is initialized ==========
{'loss': -0.2334, 'grad_norm': 2.527100086212158, 'learning_rate': 1.86046511627907e-06, 'epoch': 0.93}
{'loss': -0.2486, 'grad_norm': 2.4703125953674316, 'learning_rate': 3.72093023255814e-06, 'epoch': 1.86}
{'loss': -0.2772, 'grad_norm': 2.36576771736145, 'learning_rate': 5.581395348837209e-06, 'epoch': 2.79}
{'loss': -0.3181, 'grad_norm': 2.161929130554199, 'learning_rate': 7.44186046511628e-06, 'epoch': 3.72}
{'loss': -0.3727, 'grad_norm': 1.8995273113250732, 'learning_rate': 9.302325581395349e-06, 'epoch': 4.65}
{'loss': -0.4467, 'grad_norm': 1.3278148174285889, 'learning_rate': 1.1162790697674418e-05, 'epoch': 5.58}
{'loss': -0.5329, 'grad_norm': 0.6053321361541748, 'learning_rate': 1.3023255813953488e-05, 'epoch': 6.51}
{'loss': -0.6233, 'grad_norm': 0.5245499014854431, 'learning_rate': 1.488372093023256e-05, 'epoch': 7.44}
{'loss': -0.7285, 'grad_norm': 0.7208122611045837, 'learning_rate': 1.674418604651163e-05, 'epoch': 8.37}
{'loss': -0.8479, 'grad_norm': 0.9277746081352234, 'learning_rate': 1.8604651162790697e-05, 'epoch': 9.3}
{'loss': -0.9729, 'grad_norm': 0.8157361149787903, 'learning_rate': 2.046511627906977e-05, 'epoch': 10.23}
{'loss': -1.0912, 'grad_norm': 0.5923447608947754, 'learning_rate': 2.2325581395348837e-05, 'epoch': 11.16}
{'loss': -1.2074, 'grad_norm': 0.6548652052879333, 'learning_rate': 2.4186046511627908e-05, 'epoch': 12.09}
{'loss': -1.3259, 'grad_norm': 1.0007308721542358, 'learning_rate': 2.6046511627906976e-05, 'epoch': 13.02}
{'loss': -1.4641, 'grad_norm': 0.7927648425102234, 'learning_rate': 2.7906976744186048e-05, 'epoch': 13.95}
{'loss': -1.6092, 'grad_norm': 0.8867449164390564, 'learning_rate': 2.976744186046512e-05, 'epoch': 14.88}
{'loss': -1.7121, 'grad_norm': 1.5061122179031372, 'learning_rate': 3.162790697674419e-05, 'epoch': 15.81}
{'loss': -1.7986, 'grad_norm': 1.3998671770095825, 'learning_rate': 3.348837209302326e-05, 'epoch': 16.74}
{'loss': -1.8901, 'grad_norm': 3.098756790161133, 'learning_rate': 3.5348837209302326e-05, 'epoch': 17.67}
{'loss': -1.9593, 'grad_norm': 1.7696199417114258, 'learning_rate': 3.7209302325581394e-05, 'epoch': 18.6}
{'loss': -2.0224, 'grad_norm': 2.184035062789917, 'learning_rate': 3.906976744186047e-05, 'epoch': 19.53}
{'loss': -2.0916, 'grad_norm': 2.925649404525757, 'learning_rate': 4.093023255813954e-05, 'epoch': 20.47}
{'loss': -2.1566, 'grad_norm': 2.755831003189087, 'learning_rate': 4.2790697674418605e-05, 'epoch': 21.4}
{'loss': -2.2122, 'grad_norm': 2.576444387435913, 'learning_rate': 4.465116279069767e-05, 'epoch': 22.33}
{'loss': -2.2594, 'grad_norm': 3.7971506118774414, 'learning_rate': 4.651162790697675e-05, 'epoch': 23.26}
{'loss': -2.3017, 'grad_norm': 4.994082450866699, 'learning_rate': 4.8372093023255816e-05, 'epoch': 24.19}
{'loss': -2.341, 'grad_norm': 3.8536014556884766, 'learning_rate': 5.023255813953489e-05, 'epoch': 25.12}
{'loss': -2.3747, 'grad_norm': 5.119875431060791, 'learning_rate': 5.209302325581395e-05, 'epoch': 26.05}
{'loss': -2.4057, 'grad_norm': 3.751413106918335, 'learning_rate': 5.3953488372093034e-05, 'epoch': 26.98}
{'loss': -2.4329, 'grad_norm': 4.427772045135498, 'learning_rate': 5.5813953488372095e-05, 'epoch': 27.91}
{'loss': -2.4607, 'grad_norm': 3.2586207389831543, 'learning_rate': 5.767441860465117e-05, 'epoch': 28.84}
{'loss': -2.4882, 'grad_norm': 3.6870875358581543, 'learning_rate': 5.953488372093024e-05, 'epoch': 29.77}
{'loss': -2.5125, 'grad_norm': 5.775091648101807, 'learning_rate': 6.139534883720931e-05, 'epoch': 30.7}
{'loss': -2.5338, 'grad_norm': 5.822722434997559, 'learning_rate': 6.325581395348838e-05, 'epoch': 31.63}
{'loss': -2.5561, 'grad_norm': 6.639632701873779, 'learning_rate': 6.511627906976745e-05, 'epoch': 32.56}
{'loss': -2.5739, 'grad_norm': 2.3872811794281006, 'learning_rate': 6.697674418604652e-05, 'epoch': 33.49}
{'loss': -2.5912, 'grad_norm': 6.088052749633789, 'learning_rate': 6.883720930232558e-05, 'epoch': 34.42}
{'loss': -2.6108, 'grad_norm': 5.744849681854248, 'learning_rate': 7.069767441860465e-05, 'epoch': 35.35}
{'loss': -2.6277, 'grad_norm': 9.25797176361084, 'learning_rate': 7.255813953488373e-05, 'epoch': 36.28}
{'loss': -2.6456, 'grad_norm': 8.70358943939209, 'learning_rate': 7.441860465116279e-05, 'epoch': 37.21}
{'loss': -2.6643, 'grad_norm': 4.798495769500732, 'learning_rate': 7.627906976744187e-05, 'epoch': 38.14}
{'loss': -2.6833, 'grad_norm': 10.991250038146973, 'learning_rate': 7.813953488372094e-05, 'epoch': 39.07}
{'loss': -2.6993, 'grad_norm': 10.894880294799805, 'learning_rate': 8e-05, 'epoch': 40.0}
{'loss': -2.712, 'grad_norm': 13.379335403442383, 'learning_rate': 8.186046511627907e-05, 'epoch': 40.93}
{'loss': -2.7283, 'grad_norm': 10.838271141052246, 'learning_rate': 8.372093023255814e-05, 'epoch': 41.86}
{'loss': -2.7421, 'grad_norm': 12.412522315979004, 'learning_rate': 8.558139534883721e-05, 'epoch': 42.79}
{'loss': -2.7528, 'grad_norm': 9.390987396240234, 'learning_rate': 8.744186046511629e-05, 'epoch': 43.72}
{'loss': -2.7626, 'grad_norm': 14.960330963134766, 'learning_rate': 8.930232558139535e-05, 'epoch': 44.65}
{'loss': -2.7746, 'grad_norm': 13.88648509979248, 'learning_rate': 9.116279069767443e-05, 'epoch': 45.58}
{'loss': -2.7848, 'grad_norm': 15.462650299072266, 'learning_rate': 9.30232558139535e-05, 'epoch': 46.51}
{'loss': -2.7941, 'grad_norm': 10.887358665466309, 'learning_rate': 9.488372093023256e-05, 'epoch': 47.44}
{'loss': -2.8024, 'grad_norm': 13.660113334655762, 'learning_rate': 9.674418604651163e-05, 'epoch': 48.37}
{'loss': -2.8158, 'grad_norm': 13.083626747131348, 'learning_rate': 9.86046511627907e-05, 'epoch': 49.3}
{'loss': -2.8285, 'grad_norm': 15.22050666809082, 'learning_rate': 9.994832041343671e-05, 'epoch': 50.23}
{'loss': -2.8377, 'grad_norm': 15.659160614013672, 'learning_rate': 9.974160206718347e-05, 'epoch': 51.16}
{'loss': -2.8473, 'grad_norm': 8.442187309265137, 'learning_rate': 9.953488372093024e-05, 'epoch': 52.09}
{'loss': -2.8582, 'grad_norm': 5.882442474365234, 'learning_rate': 9.9328165374677e-05, 'epoch': 53.02}
{'loss': -2.8707, 'grad_norm': 14.488794326782227, 'learning_rate': 9.912144702842377e-05, 'epoch': 53.95}
{'loss': -2.8809, 'grad_norm': 16.92875862121582, 'learning_rate': 9.891472868217055e-05, 'epoch': 54.88}
{'loss': -2.8886, 'grad_norm': 12.247361183166504, 'learning_rate': 9.870801033591732e-05, 'epoch': 55.81}
{'loss': -2.8995, 'grad_norm': 12.211681365966797, 'learning_rate': 9.85012919896641e-05, 'epoch': 56.74}
{'loss': -2.9061, 'grad_norm': 14.307929039001465, 'learning_rate': 9.829457364341085e-05, 'epoch': 57.67}
{'loss': -2.9211, 'grad_norm': 12.735743522644043, 'learning_rate': 9.808785529715763e-05, 'epoch': 58.6}
{'loss': -2.9291, 'grad_norm': 14.92971420288086, 'learning_rate': 9.78811369509044e-05, 'epoch': 59.53}
{'loss': -2.9365, 'grad_norm': 19.636993408203125, 'learning_rate': 9.767441860465116e-05, 'epoch': 60.47}
{'loss': -2.9439, 'grad_norm': 14.643806457519531, 'learning_rate': 9.746770025839795e-05, 'epoch': 61.4}
{'loss': -2.9512, 'grad_norm': 18.064332962036133, 'learning_rate': 9.72609819121447e-05, 'epoch': 62.33}
{'loss': -2.9587, 'grad_norm': 7.733342170715332, 'learning_rate': 9.705426356589148e-05, 'epoch': 63.26}
{'loss': -2.9673, 'grad_norm': 12.47445297241211, 'learning_rate': 9.684754521963825e-05, 'epoch': 64.19}
