Starting time: Sat Aug 24 13:24:13 CEST 2024
no change     /proj/gaia/RayDT/mamba_ray/condabin/conda
no change     /proj/gaia/RayDT/mamba_ray/bin/conda
no change     /proj/gaia/RayDT/mamba_ray/bin/conda-env
no change     /proj/gaia/RayDT/mamba_ray/bin/activate
no change     /proj/gaia/RayDT/mamba_ray/bin/deactivate
no change     /proj/gaia/RayDT/mamba_ray/etc/profile.d/conda.sh
no change     /proj/gaia/RayDT/mamba_ray/etc/fish/conf.d/conda.fish
no change     /proj/gaia/RayDT/mamba_ray/shell/condabin/Conda.psm1
no change     /proj/gaia/RayDT/mamba_ray/shell/condabin/conda-hook.ps1
no change     /proj/gaia/RayDT/mamba_ray/lib/python3.10/site-packages/xontrib/conda.xsh
no change     /proj/gaia/RayDT/mamba_ray/etc/profile.d/conda.csh
no change     /home/x_yifji/.bashrc
No action taken.
config =  {'env_index': 4, 'add_type_loss': True, 'eval_from': None, 'test_seed': 42, 'test_data': 'test', 'Tx_id': 0, 'allTx': True, 'Rx_id': None, 'Rx1_id': None, 'Rx2_id': None, 'debug_path_flag': False, 'path_id': 6, 'add_noise': False, 'optim_load': False, 'small_batch': False, 'big_batch': False, 'debug': False, 'produce_fig': False, 'wandb': True, 'replot_baseline_only': False, 'Ofunc': False, 'noise_sample': 20, 'path': None, 'data_postfix': '', 'data_prefix': 'allTx', 'gen_func': <function gen_data_sample_across_rx at 0x14bca9a30d30>}
========== Training config ==========
Found matching repo for training dataset: allTx_HFds__noise_20__20240821_021540_env_index_4
========== loading Data from /proj/gaia/RayDT/dataset/processed_data/trainwoAug/all_Tx_data/allTx_HFds__noise_20__20240821_021540_env_index_4 ==========
========== Training Data is loaded ==========
Type loss is added
========== Model is initialized ==========
{'loss': 1.5699, 'grad_norm': 3.9247899055480957, 'learning_rate': 1.86046511627907e-06, 'epoch': 0.93}
{'loss': 1.5417, 'grad_norm': 3.87969708442688, 'learning_rate': 3.72093023255814e-06, 'epoch': 1.86}
{'loss': 1.486, 'grad_norm': 3.7984135150909424, 'learning_rate': 5.581395348837209e-06, 'epoch': 2.79}
{'loss': 1.4021, 'grad_norm': 3.6526987552642822, 'learning_rate': 7.44186046511628e-06, 'epoch': 3.72}
{'loss': 1.2881, 'grad_norm': 3.4365499019622803, 'learning_rate': 9.302325581395349e-06, 'epoch': 4.65}
{'loss': 1.1385, 'grad_norm': 3.1550912857055664, 'learning_rate': 1.1162790697674418e-05, 'epoch': 5.58}
{'loss': 0.9497, 'grad_norm': 2.687203884124756, 'learning_rate': 1.3023255813953488e-05, 'epoch': 6.51}
{'loss': 0.7331, 'grad_norm': 2.090663194656372, 'learning_rate': 1.488372093023256e-05, 'epoch': 7.44}
{'loss': 0.5185, 'grad_norm': 1.5699366331100464, 'learning_rate': 1.674418604651163e-05, 'epoch': 8.37}
{'loss': 0.3396, 'grad_norm': 1.2242118120193481, 'learning_rate': 1.8604651162790697e-05, 'epoch': 9.3}
{'loss': 0.1728, 'grad_norm': 1.143970012664795, 'learning_rate': 2.046511627906977e-05, 'epoch': 10.23}
{'loss': -0.0185, 'grad_norm': 1.2139334678649902, 'learning_rate': 2.2325581395348837e-05, 'epoch': 11.16}
{'loss': -0.21, 'grad_norm': 1.0457152128219604, 'learning_rate': 2.4186046511627908e-05, 'epoch': 12.09}
{'loss': -0.3819, 'grad_norm': 1.1936659812927246, 'learning_rate': 2.6046511627906976e-05, 'epoch': 13.02}
{'loss': -0.5652, 'grad_norm': 1.0487815141677856, 'learning_rate': 2.7906976744186048e-05, 'epoch': 13.95}
{'loss': -0.761, 'grad_norm': 1.171697735786438, 'learning_rate': 2.976744186046512e-05, 'epoch': 14.88}
